For August 31,,,,
From,To,Airline,Price,Departure Time
Toronto-Pearson,Paris,Delta • Delta 8661,CA $1041,11:30p - 1:00p
Toronto-Pearson,Paris,Air Transat,CA $854,9:10p - 10:35a
Toronto-Pearson,Paris,Icelandair,CA $625,11:00p - 3:55p
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,9:10p - 10:35a
Toronto-Pearson,Paris,Air Canada,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Delta • Delta 8661,CA $1041,11:30p - 1:00p
Toronto-Pearson,Paris,Brussels Airlines • Brussels,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Delta • Delta 8617,CA $1146,6:15p - 7:40a
Toronto-Pearson,Paris,Air France,CA $1076,6:15p - 7:40a
Toronto-Pearson,Paris,Lufthansa • Lufthansa 6825,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Air France,CA $1076,11:30p - 1:00p
Toronto-Pearson,Paris,Air Transat • Air,CA $719,9:50a - 7:45a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $714,9:50a - 7:45a
Toronto-Pearson,Paris,Air Transat • Air,CA $719,7:00a - 7:45a
Toronto-Pearson,Paris,Air Transat,CA $854,4:40p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,4:35p - 10:20a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,4:40p - 10:20a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,4:35p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,9:50a - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $764,11:15p - 7:45a
Toronto-Pearson,Paris,Air Transat • Air,CA $764,11:15p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,7:00a - 10:20a
Toronto-Pearson,Paris,Air Transat,CA $764,7:30p - 7:45a
Toronto-Pearson,Paris,Aer Lingus,CA $1014,5:30p - 9:30a
Toronto-Pearson,Paris,ITA Airways,CA $1074,4:40p - 10:45a
Toronto-Pearson,Paris,Multiple airlines,CA $960,7:50p - 1:40p
Toronto-Pearson,Paris,Air Transat,CA $854,9:10p - 10:35a
Toronto-Pearson,Paris,Icelandair,CA $625,11:00p - 3:55p
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,9:10p - 10:35a
Toronto-Pearson,Paris,Air Canada,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Delta • Delta 8661,CA $1041,11:30p - 1:00p
Toronto-Pearson,Paris,Brussels Airlines • Brussels,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Delta • Delta 8617,CA $1146,6:15p - 7:40a
Toronto-Pearson,Paris,Air France,CA $1076,6:15p - 7:40a
Toronto-Pearson,Paris,Lufthansa • Lufthansa 6825,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Air France,CA $1076,11:30p - 1:00p
Toronto-Pearson,Paris,Air Transat • Air,CA $719,9:50a - 7:45a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $714,9:50a - 7:45a
Toronto-Pearson,Paris,Air Transat • Air,CA $719,7:00a - 7:45a
Toronto-Pearson,Paris,Air Transat,CA $854,4:40p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,4:35p - 10:20a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,4:40p - 10:20a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,4:35p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,9:50a - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $764,11:15p - 7:45a
Toronto-Pearson,Paris,Air Transat • Air,CA $764,11:15p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,7:00a - 10:20a
Toronto-Pearson,Paris,Air Transat,CA $764,7:30p - 7:45a
Toronto-Pearson,Paris,Aer Lingus,CA $1014,5:30p - 9:30a
Toronto-Pearson,Paris,ITA Airways,CA $1074,4:40p - 10:45a
Toronto-Pearson,Paris,Multiple airlines,CA $960,7:50p - 1:40p
Toronto-Pearson,Paris,Air Transat,CA $854,9:10p - 10:35a
Toronto-Pearson,Paris,Icelandair,CA $625,11:00p - 3:55p
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,9:10p - 10:35a
Toronto-Pearson,Paris,Air Canada,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Delta • Delta 8661,CA $1041,11:30p - 1:00p
Toronto-Pearson,Paris,Brussels Airlines • Brussels,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Delta • Delta 8617,CA $1146,6:15p - 7:40a
Toronto-Pearson,Paris,Air France,CA $1076,6:15p - 7:40a
Toronto-Pearson,Paris,Lufthansa • Lufthansa 6825,CA $1106,8:45p - 10:10a
Toronto-Pearson,Paris,Air France,CA $1076,11:30p - 1:00p
Toronto-Pearson,Paris,Air Transat • Air,CA $719,9:50a - 7:45a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $714,9:50a - 7:45a
Toronto-Pearson,Paris,Air Transat • Air,CA $719,7:00a - 7:45a
Toronto-Pearson,Paris,Air Transat,CA $854,4:40p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,4:35p - 10:20a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,4:40p - 10:20a
Toronto-Pearson,Paris,Porter Airlines • Porter,CA $849,4:35p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,9:50a - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $764,11:15p - 7:45a
Toronto-Pearson,Paris,Air Transat • Air,CA $764,11:15p - 10:20a
Toronto-Pearson,Paris,Air Transat • Air,CA $854,7:00a - 10:20a
Toronto-Pearson,Paris,Air Transat,CA $764,7:30p - 7:45a
Toronto-Pearson,Paris,Aer Lingus,CA $1014,5:30p - 9:30a
Toronto-Pearson,Paris,ITA Airways,CA $1074,4:40p - 10:45a
Toronto-Pearson,Paris,Multiple airlines,CA $960,7:50p - 1:40p
Delhi,London,Air India,CA $1843,2:15p - 7:00p
Delhi,London,LOT-Polish Airlines,CA $972,8:00a - 5:20p
Delhi,London,British Airways,CA $2442,10:05a - 3:15p
Delhi,London,LOT-Polish Airlines,CA $863,8:00a - 10:00p
Delhi,London,Air India,CA $1843,6:45a - 11:30a
Delhi,London,Air India,CA $1843,2:15p - 7:00p
Delhi,London,LOT-Polish Airlines,CA $972,8:00a - 5:20p
Delhi,London,British Airways,CA $2442,10:05a - 3:15p
Delhi,London,LOT-Polish Airlines,CA $863,8:00a - 10:00p
Delhi,London,Air India,CA $1843,6:45a - 11:30a
Delhi,London,Air India,CA $1843,2:15p - 7:00p
Delhi,London,LOT-Polish Airlines,CA $972,8:00a - 5:20p
Delhi,London,British Airways,CA $2442,10:05a - 3:15p
Delhi,London,LOT-Polish Airlines,CA $863,8:00a - 10:00p
Delhi,London,Air India,CA $1843,6:45a - 11:30a
Delhi,London,Air India,CA $1843,2:15p - 7:00p
Delhi,London,LOT-Polish Airlines,CA $972,8:00a - 5:20p
Delhi,London,British Airways,CA $2442,10:05a - 3:15p
Delhi,London,LOT-Polish Airlines,CA $863,8:00a - 10:00p
Delhi,London,Air India,CA $1843,6:45a - 11:30a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 9:28a
Delhi,New York,United • United 8653,CA $1477,10:50p - 9:28a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 10:43a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 1:28p
Delhi,New York,United,CA $1704,11:35p - 6:30a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 9:28a
Delhi,New York,United • United 8653,CA $1477,10:50p - 9:28a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 10:43a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 1:28p
Delhi,New York,United,CA $1704,11:35p - 6:30a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 9:28a
Delhi,New York,United • United 8653,CA $1477,10:50p - 9:28a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 10:43a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 1:28p
Delhi,New York,United,CA $1704,11:35p - 6:30a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 9:28a
Delhi,New York,United • United 8653,CA $1477,10:50p - 9:28a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 10:43a
Delhi,New York,Air Canada • Air,CA $1477,10:50p - 1:28p
Delhi,New York,United,CA $1704,11:35p - 6:30a
Delhi,Paris,Vistara,CA $885,2:05p - 8:10p
Delhi,Paris,Air India • Air,CA $1173,2:05p - 8:10p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 10:45p
Delhi,Paris,LOT-Polish Airlines,CA $786,8:00a - 6:50p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 9:50a
Delhi,Paris,Air India,CA $1853,1:20p - 7:00p
Delhi,Paris,Air France,CA $1425,12:35a - 6:35a
Delhi,Paris,Finnair,CA $958,7:40a - 6:10p
Delhi,Paris,Multiple airlines,CA $1068,8:55a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,8:00a - 7:30p
Delhi,Paris,Finnair • Finnair 1581,CA $958,7:40a - 10:20p
Delhi,Paris,Multiple airlines,CA $1068,7:00a - 7:30p
Delhi,Paris,Egyptair,CA $1148,11:40a - 9:05p
Delhi,Paris,Multiple airlines,CA $1068,2:15a - 7:30p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 9:25p
Delhi,Paris,Vistara,CA $1415,9:30a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,10:30p - 7:30p
Delhi,Paris,Vistara,CA $1415,8:55a - 7:30p
Delhi,Paris,Etihad Airways • Etihad,CA $1380,4:50a - 2:25p
Delhi,Paris,Gulf Air,CA $1398,9:50p - 7:55a
Delhi,Paris,Etihad Airways,CA $1236,4:55p - 7:45a
Delhi,Paris,ITA Airways,CA $1630,3:05a - 1:05p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 10:55p
Delhi,Paris,Vistara,CA $1121,9:55p - 7:30p
Delhi,Paris,Swiss International Air Lines,CA $1628,1:10a - 8:55a
Delhi,Paris,Vistara,CA $885,2:05p - 8:10p
Delhi,Paris,Air India • Air,CA $1173,2:05p - 8:10p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 10:45p
Delhi,Paris,LOT-Polish Airlines,CA $786,8:00a - 6:50p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 9:50a
Delhi,Paris,Air India,CA $1853,1:20p - 7:00p
Delhi,Paris,Air France,CA $1425,12:35a - 6:35a
Delhi,Paris,Finnair,CA $958,7:40a - 6:10p
Delhi,Paris,Multiple airlines,CA $1068,8:55a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,8:00a - 7:30p
Delhi,Paris,Finnair • Finnair 1581,CA $958,7:40a - 10:20p
Delhi,Paris,Multiple airlines,CA $1068,7:00a - 7:30p
Delhi,Paris,Egyptair,CA $1148,11:40a - 9:05p
Delhi,Paris,Multiple airlines,CA $1068,2:15a - 7:30p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 9:25p
Delhi,Paris,Vistara,CA $1415,9:30a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,10:30p - 7:30p
Delhi,Paris,Vistara,CA $1415,8:55a - 7:30p
Delhi,Paris,Etihad Airways • Etihad,CA $1380,4:50a - 2:25p
Delhi,Paris,Gulf Air,CA $1398,9:50p - 7:55a
Delhi,Paris,Etihad Airways,CA $1236,4:55p - 7:45a
Delhi,Paris,ITA Airways,CA $1630,3:05a - 1:05p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 10:55p
Delhi,Paris,Vistara,CA $1121,9:55p - 7:30p
Delhi,Paris,Swiss International Air Lines,CA $1628,1:10a - 8:55a
Delhi,Paris,Vistara,CA $885,2:05p - 8:10p
Delhi,Paris,Air India • Air,CA $1173,2:05p - 8:10p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 10:45p
Delhi,Paris,LOT-Polish Airlines,CA $786,8:00a - 6:50p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 9:50a
Delhi,Paris,Air India,CA $1853,1:20p - 7:00p
Delhi,Paris,Air France,CA $1425,12:35a - 6:35a
Delhi,Paris,Finnair,CA $958,7:40a - 6:10p
Delhi,Paris,Multiple airlines,CA $1068,8:55a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,8:00a - 7:30p
Delhi,Paris,Finnair • Finnair 1581,CA $958,7:40a - 10:20p
Delhi,Paris,Multiple airlines,CA $1068,7:00a - 7:30p
Delhi,Paris,Egyptair,CA $1148,11:40a - 9:05p
Delhi,Paris,Multiple airlines,CA $1068,2:15a - 7:30p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 9:25p
Delhi,Paris,Vistara,CA $1415,9:30a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,10:30p - 7:30p
Delhi,Paris,Vistara,CA $1415,8:55a - 7:30p
Delhi,Paris,Etihad Airways • Etihad,CA $1380,4:50a - 2:25p
Delhi,Paris,Gulf Air,CA $1398,9:50p - 7:55a
Delhi,Paris,Etihad Airways,CA $1236,4:55p - 7:45a
Delhi,Paris,ITA Airways,CA $1630,3:05a - 1:05p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 10:55p
Delhi,Paris,Vistara,CA $1121,9:55p - 7:30p
Delhi,Paris,Swiss International Air Lines,CA $1628,1:10a - 8:55a
Delhi,Paris,Vistara,CA $885,2:05p - 8:10p
Delhi,Paris,Air India • Air,CA $1173,2:05p - 8:10p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 10:45p
Delhi,Paris,LOT-Polish Airlines,CA $786,8:00a - 6:50p
Delhi,Paris,LOT-Polish Airlines,CA $705,8:00a - 9:50a
Delhi,Paris,Air India,CA $1853,1:20p - 7:00p
Delhi,Paris,Air France,CA $1425,12:35a - 6:35a
Delhi,Paris,Finnair,CA $958,7:40a - 6:10p
Delhi,Paris,Multiple airlines,CA $1068,8:55a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,8:00a - 7:30p
Delhi,Paris,Finnair • Finnair 1581,CA $958,7:40a - 10:20p
Delhi,Paris,Multiple airlines,CA $1068,7:00a - 7:30p
Delhi,Paris,Egyptair,CA $1148,11:40a - 9:05p
Delhi,Paris,Multiple airlines,CA $1068,2:15a - 7:30p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 9:25p
Delhi,Paris,Vistara,CA $1415,9:30a - 7:30p
Delhi,Paris,Multiple airlines,CA $1068,10:30p - 7:30p
Delhi,Paris,Vistara,CA $1415,8:55a - 7:30p
Delhi,Paris,Etihad Airways • Etihad,CA $1380,4:50a - 2:25p
Delhi,Paris,Gulf Air,CA $1398,9:50p - 7:55a
Delhi,Paris,Etihad Airways,CA $1236,4:55p - 7:45a
Delhi,Paris,ITA Airways,CA $1630,3:05a - 1:05p
Delhi,Paris,Lufthansa • Lufthansa 7253,CA $1265,1:35p - 10:55p
Delhi,Paris,Vistara,CA $1121,9:55p - 7:30p
Delhi,Paris,Swiss International Air Lines,CA $1628,1:10a - 8:55a
Dubai,London,Azerbaijan Airlines,CA $663,1:10p - 9:05p
Dubai,London,Emirates,CA $1503,2:15p - 6:40p
Dubai,London,Emirates,CA $1503,11:25a - 4:10p
Dubai,London,Emirates,CA $1503,10:20a - 3:05p
Dubai,London,Emirates,CA $1503,9:40a - 2:25p
Dubai,London,Azerbaijan Airlines,CA $663,1:10p - 9:05p
Dubai,London,Emirates,CA $1503,2:15p - 6:40p
Dubai,London,Emirates,CA $1503,11:25a - 4:10p
Dubai,London,Emirates,CA $1503,10:20a - 3:05p
Dubai,London,Emirates,CA $1503,9:40a - 2:25p
Dubai,London,Azerbaijan Airlines,CA $663,1:10p - 9:05p
Dubai,London,Emirates,CA $1503,2:15p - 6:40p
Dubai,London,Emirates,CA $1503,11:25a - 4:10p
Dubai,London,Emirates,CA $1503,10:20a - 3:05p
Dubai,London,Emirates,CA $1503,9:40a - 2:25p
Dubai,London,Azerbaijan Airlines,CA $663,1:10p - 9:05p
Dubai,London,Emirates,CA $1503,2:15p - 6:40p
Dubai,London,Emirates,CA $1503,11:25a - 4:10p
Dubai,London,Emirates,CA $1503,10:20a - 3:05p
Dubai,London,Emirates,CA $1503,9:40a - 2:25p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 7:25p
Dubai,New York,Multiple airlines,CA $1117,11:25a - 9:10p
Dubai,New York,Emirates,CA $1642,8:30a - 2:25p
Dubai,New York,United,CA $1114,1:55a - 8:15a
Dubai,New York,Multiple airlines,CA $1117,11:25a - 10:50p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 7:25p
Dubai,New York,Multiple airlines,CA $1117,11:25a - 9:10p
Dubai,New York,Emirates,CA $1642,8:30a - 2:25p
Dubai,New York,United,CA $1114,1:55a - 8:15a
Dubai,New York,Multiple airlines,CA $1117,11:25a - 10:50p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 10:50p
Dubai,New York,Multiple airlines,CA $1118,3:00a - 4:30p
Dubai,New York,Emirates,CA $1826,2:50a - 8:50a
Dubai,New York,Emirates,CA $1826,9:45a - 6:55p
Dubai,New York,Emirates,CA $1826,10:50a - 9:20p
Dubai,New York,Saudia,CA $1413,11:00p - 9:00a
Dubai,New York,Saudia,CA $1413,9:00p - 9:00a
Dubai,New York,Kenya Airways,CA $1334,12:55a - 4:45p
Dubai,New York,Saudia,CA $1413,5:30p - 9:00a
Dubai,New York,Multiple airlines • United,CA $1385,12:50a - 1:25p
Dubai,New York,United • United 8741,CA $1385,12:50a - 1:25p
Dubai,New York,Lufthansa,CA $1411,12:50a - 1:25p
Dubai,New York,Saudia,CA $1413,2:25p - 9:00a
Dubai,New York,Delta • Delta 8627,CA $1539,12:40a - 12:45p
Dubai,New York,KLM • KLM 6149,CA $1463,12:55a - 2:30p
Dubai,New York,Qatar Airways,CA $1771,1:15p - 10:30p
Dubai,New York,Multiple airlines • American,CA $1793,1:15p - 10:30p
Dubai,New York,Saudia,CA $1413,11:10a - 9:00a
Dubai,New York,Delta • Delta 9500,CA $1539,12:55a - 2:30p
Dubai,New York,Lufthansa,CA $1411,12:50a - 8:05p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 7:25p
Dubai,New York,Multiple airlines,CA $1117,11:25a - 9:10p
Dubai,New York,Emirates,CA $1642,8:30a - 2:25p
Dubai,New York,United,CA $1114,1:55a - 8:15a
Dubai,New York,Multiple airlines,CA $1117,11:25a - 10:50p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 10:50p
Dubai,New York,Multiple airlines,CA $1118,3:00a - 4:30p
Dubai,New York,Emirates,CA $1826,2:50a - 8:50a
Dubai,New York,Emirates,CA $1826,9:45a - 6:55p
Dubai,New York,Emirates,CA $1826,10:50a - 9:20p
Dubai,New York,Saudia,CA $1413,11:00p - 9:00a
Dubai,New York,Saudia,CA $1413,9:00p - 9:00a
Dubai,New York,Kenya Airways,CA $1334,12:55a - 4:45p
Dubai,New York,Saudia,CA $1413,5:30p - 9:00a
Dubai,New York,Multiple airlines • United,CA $1385,12:50a - 1:25p
Dubai,New York,United • United 8741,CA $1385,12:50a - 1:25p
Dubai,New York,Lufthansa,CA $1411,12:50a - 1:25p
Dubai,New York,Saudia,CA $1413,2:25p - 9:00a
Dubai,New York,Delta • Delta 8627,CA $1539,12:40a - 12:45p
Dubai,New York,KLM • KLM 6149,CA $1463,12:55a - 2:30p
Dubai,New York,Qatar Airways,CA $1771,1:15p - 10:30p
Dubai,New York,Multiple airlines • American,CA $1793,1:15p - 10:30p
Dubai,New York,Saudia,CA $1413,11:10a - 9:00a
Dubai,New York,Delta • Delta 9500,CA $1539,12:55a - 2:30p
Dubai,New York,Lufthansa,CA $1411,12:50a - 8:05p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 7:25p
Dubai,New York,Multiple airlines,CA $1117,11:25a - 9:10p
Dubai,New York,Emirates,CA $1642,8:30a - 2:25p
Dubai,New York,United,CA $1114,1:55a - 8:15a
Dubai,New York,Multiple airlines,CA $1117,11:25a - 10:50p
Dubai,New York,Multiple airlines,CA $1117,9:40a - 10:50p
Dubai,New York,Multiple airlines,CA $1118,3:00a - 4:30p
Dubai,New York,Emirates,CA $1826,2:50a - 8:50a
Dubai,New York,Emirates,CA $1826,9:45a - 6:55p
Dubai,New York,Emirates,CA $1826,10:50a - 9:20p
Dubai,New York,Saudia,CA $1413,11:00p - 9:00a
Dubai,New York,Saudia,CA $1413,9:00p - 9:00a
Dubai,New York,Kenya Airways,CA $1334,12:55a - 4:45p
Dubai,New York,Saudia,CA $1413,5:30p - 9:00a
Dubai,New York,Multiple airlines • United,CA $1385,12:50a - 1:25p
Dubai,New York,United • United 8741,CA $1385,12:50a - 1:25p
Dubai,New York,Lufthansa,CA $1411,12:50a - 1:25p
